transaction_id,date,region,category,product_name,unit_price,quantity,payment_method,total_amount
TXN-1001,2026-01-01,East,Clothing,Desk Chair,120.0,5,PayPal,600.0
TXN-1002,2026-01-02,West,Clothing,Headphones,120.0,3,Credit Card,360.0
TXN-1003,2026-01-03,North,Clothing,Sofa,45.0,7,PayPal,315.0
TXN-1004,2026-01-04,East,Clothing,Laptop,250.0,5,Credit Card,1250.0
TXN-1005,2026-01-05,East,Electronics,Headphones,250.0,9,PayPal,2250.0
TXN-1006,2026-01-06,West,Clothing,Desk Chair,120.0,7,Cash,840.0
TXN-1007,2026-01-07,North,Furniture,Sofa,250.0,2,Cash,500.0
TXN-1008,2026-01-08,North,Electronics,Headphones,250.0,4,UPI,1000.0
TXN-1009,2026-01-09,East,Furniture,Laptop,15.0,9,Cash,135.0
TXN-1010,2026-01-10,South,Furniture,Laptop,120.0,2,UPI,240.0
